val_acc,num_params,train_all_time,train_per_time,val_per_time,val_all_time,prediction_time,error
-40.33333317,1.538696,21000.32578,105.0016289,0.642122941,128.4245883,105.6437518,0.596666668
-41.36666651,1.323656,20602.97943,103.0148972,0.62197547,124.3950939,103.6368726,0.586333335
-42.09999985,1.323656,20587.58593,102.9379296,0.621226249,124.2452499,103.5591559,0.579000002
-44.46666659,1.323656,20586.33656,102.9316828,0.616448067,123.2896134,103.5481309,0.555333334
-40.56666658,1.323656,20545.08219,102.725411,0.62166856,124.333712,103.3470795,0.594333334
-43.63333322,1.323656,20462.17227,102.3108614,0.620938718,124.1877437,102.9318001,0.563666668
-42.73333319,1.323656,20229.34626,101.1467313,0.599516581,119.9033162,101.7462479,0.572666668
-40.73333335,1.108616,20034.82116,100.1741058,0.578411991,115.6823983,100.7525178,0.592666666
-45.03333323,1.108616,20007.8441,100.0392205,0.587118675,117.423735,100.6263392,0.549666668
-40.7666665,1.108616,19968.51956,99.84259782,0.582781749,116.5563498,100.4253796,0.592333335
-44.46666651,1.108616,19941.33953,99.70669764,0.577562984,115.5125969,100.2842606,0.555333335
-41.56666661,1.108616,19939.3796,99.69689801,0.582504691,116.5009383,100.2794027,0.584333334
-42.86666672,1.108616,19928.37006,99.64185029,0.579067755,115.8135509,100.220918,0.571333333
-43.86666668,1.108616,19900.59134,99.50295671,0.582340847,116.4681693,100.0852976,0.561333333
-42.43333325,1.108616,19859.305,99.296525,0.587385619,117.4771237,99.88391062,0.575666667
-41.5666665,1.108616,19733.20943,98.66604717,0.568543894,113.7087788,99.23459106,0.584333335
-44.29999996,1.108616,19717.90293,98.58951463,0.570030657,114.0061314,99.15954529,0.557
-45.6666665,1.108616,19705.86968,98.52934839,0.56776291,113.5525819,99.0971113,0.543333335
-43.76666662,1.108616,19695.24318,98.47621589,0.570337035,114.067407,99.04655293,0.562333334
-42.93333318,1.108616,19681.01619,98.40508096,0.567923813,113.5847626,98.97300477,0.570666668
-41.06666651,1.108616,19673.9366,98.369683,0.56917477,113.834954,98.93885777,0.589333335
-43.49999998,1.108616,19663.03568,98.3151784,0.571906648,114.3813297,98.88708504,0.565
-44.26666673,0.893576,19431.31393,97.15656965,0.549783715,109.956743,97.70635337,0.557333333
-42.0666666,0.893576,19404.20177,97.02100885,0.55329574,110.659148,97.57430459,0.579333334
-44.59999996,0.893576,19395.85943,96.97929714,0.548526285,109.7052571,97.52782343,0.554
-43.93333323,0.893576,19351.88088,96.75940439,0.544869832,108.9739663,97.30427422,0.560666668
-44.0333333,0.893576,19297.6233,96.48811652,0.548062079,109.6124159,97.0361786,0.559666667
-39.86666652,1.295656,19265.01263,96.32506314,0.595788997,119.1577993,96.92085214,0.601333335
-44.86666668,0.893576,19261.94159,96.30970797,0.547474292,109.4948585,96.85718226,0.551333333
-45.93333322,0.893576,19254.75912,96.27379558,0.54165067,108.330134,96.81544625,0.540666668
-44.63333329,0.893576,19225.82365,96.12911825,0.548014843,109.6029687,96.67713309,0.553666667
-40.63333337,1.295656,19212.30008,96.06150042,0.597383446,119.4766893,96.65888386,0.593666666
-45.56666652,0.893576,19176.24478,95.88122391,0.545261281,109.0522562,96.42648519,0.544333335
-35.59999992,1.295656,19162.68608,95.81343042,0.596012161,119.2024323,96.40944259,0.644000001
-39.13333326,1.295656,19052.11994,95.26059971,0.592333232,118.4666463,95.85293294,0.608666667
-44.59999985,0.893576,19058.73364,95.29366821,0.537527876,107.5055752,95.83119608,0.554000002
-43.10000001,0.893576,19059.64028,95.29820139,0.530599012,106.1198023,95.82880041,0.569
-46.30000006,0.893576,19051.87337,95.25936686,0.537459559,107.4919118,95.79682642,0.536999999
-42.36666654,1.080616,19032.13565,95.16067823,0.57817335,115.6346699,95.73885158,0.576333335
-41.66666654,1.080616,19028.57412,95.14287062,0.577919888,115.5839777,95.72079051,0.583333335
-45.96666671,0.893576,19025.82152,95.12910758,0.53017503,106.035006,95.65928261,0.540333333
-44.03333338,0.893576,19016.67248,95.08336241,0.538472073,107.6944147,95.62183448,0.559666666
-44.96666667,0.893576,19008.29728,95.04148638,0.531256269,106.2512537,95.57274265,0.550333333
-45.40000006,0.893576,19007.34077,95.03670387,0.534705,106.9410001,95.57140887,0.545999999
-42.86666662,0.893576,19006.69607,95.03348033,0.532649205,106.5298411,95.56612954,0.571333334
-40.76666669,1.080616,18977.54938,94.88774688,0.580015513,116.0031026,95.4677624,0.592333333
-37.16666652,1.295656,18970.99784,94.8549892,0.588061517,117.6123033,95.44305071,0.628333335
-43.16666663,0.893576,18960.57371,94.80286856,0.525470945,105.094189,95.3283395,0.568333334
-43.93333335,0.893576,18956.24902,94.7812451,0.536827491,107.3654982,95.31807259,0.560666666
-43.76666669,1.080616,18946.45127,94.73225637,0.571292906,114.2585812,95.30354928,0.562333333
-44.76666663,0.678536,18929.56087,94.64780434,0.521062221,104.2124442,95.16886656,0.552333334
